id,ref_id,device_name,device_type,description,ip_address,stream_url,stream_type,location_lat,location_long,location_elevation,zone_id,created_at,updated_at
,d8c5a2e9-b980-417c-9981-26f8e633e98c,scn_device_8,RTSP_CAMERA,Facing Carpark Lots,192.168.168.8,rtsp://username:password@192.168.168.8/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,bb2f2937-0c2b-af29-d179-b1f490472ca2,scn_device_9,RTSP_CAMERA,Facing Carpark Lots,192.168.168.9,rtsp://username:password@192.168.168.9/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,e7fbe9ca-3273-1be0-87d8-6ac136fc4e86,scn_device_10,RTSP_CAMERA,Facing Carpark Lots,192.168.168.10,rtsp://username:password@192.168.168.10/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,834701c3-374e-fcfc-ae9d-5fbcf7202b9b,scn_device_11,RTSP_CAMERA,Facing Carpark Lots,192.168.168.11,rtsp://username:password@192.168.168.11/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,bb48a00d-7e94-5c9c-e0bb-330e8a6e6841,scn_device_12,RTSP_CAMERA,Facing Carpark Lots,192.168.168.12,rtsp://username:password@192.168.168.12/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,377bd605-a84d-b693-2507-b25bd76d5c81,scn_device_13,RTSP_CAMERA,Building,192.168.168.13,rtsp://username:password@192.168.168.13/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,b7dbfb7b-b9ed-25d8-514c-609102714be7,scn_device_14,RTSP_CAMERA,Facing Carpark Lots,192.168.168.14,rtsp://username:password@192.168.168.14/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,9c8b3807-8bfb-1b74-9074-d68996d12b38,scn_device_15,RTSP_CAMERA,Building,192.168.168.15,rtsp://username:password@192.168.168.15/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,ccd09d46-690f-df54-aa94-66f2caa1372a,scn_device_16,RTSP_CAMERA,Building,192.168.168.16,rtsp://username:password@192.168.168.16/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,35a6af99-69f0-b7e6-561e-8d07dcee5b2d,scn_device_17,RTSP_CAMERA,Void Item Slot,192.168.168.17,rtsp://username:password@192.168.168.17/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,c76a81ad-744c-a7d9-761b-a282866c086b,scn_device_18,RTSP_CAMERA,Void Item Slot,192.168.168.18,rtsp://username:password@192.168.168.18/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
,38512294-c103-dcb6-6a0d-2fb50f53c04c,scn_device_19,RTSP_CAMERA,Facing Carpark Lots,192.168.168.19,rtsp://username:password@192.168.168.19/live/C0D788A8-0F5D-4C93-82D8-F9B0DF6760DF,RTSP_VIDEO,1.3546988,103.9465468,0,104,16:57.2,16:57.2
